"","Location","Year","Location2","Underpass.type","annual.effort","Agecentred","annual.traffic","annual.human","Total"
"1","Stewart South Jumpout",2008,"Stewart Creek","Jumpout",1,-51.3103164504877,696.605988160291,32.7272727272727,4
"2","Stewart South Jumpout",2009,"Stewart Creek","Jumpout",2,-51.3103164504877,704.570662100457,32.7272727272727,39
"3","Stewart South Jumpout",2010,"Stewart Creek","Jumpout",1,-51.3103164504877,715.680479452055,32.7272727272727,29
"4","Stewart South Jumpout",2011,"Stewart Creek","Jumpout",8,-51.3103164504877,720.071917808219,32.7272727272727,25
"5","Stewart South Jumpout",2012,"Stewart Creek","Jumpout",18,-51.3103164504877,752.044057377049,32.7272727272727,4
"6","Stewart South Jumpout",2013,"Stewart Creek","Jumpout",17,-51.3103164504877,768.992922374429,32.7272727272727,8
"7","Stewart South Jumpout",2014,"Stewart Creek","Jumpout",17,-51.3103164504877,823.211529680365,32.7272727272727,1
"8","Stewart South Jumpout",2015,"Stewart Creek","Jumpout",13,-51.3103164504877,884.334589041096,32.7272727272727,7
"9","Stewart South Jumpout",2016,"Stewart Creek","Jumpout",11,-51.3103164504877,930.911657559198,32.7272727272727,21
"10","Stewart South Jumpout",2017,"Stewart Creek","Jumpout",11,-51.3103164504877,946.533736727937,32.7272727272727,28
"11","Stewart South Jumpout",2018,"Stewart Creek","Jumpout",12,-51.3103164504877,950.874001996008,32.7272727272727,7
"12","Stewart Creek Underpass",2008,"Stewart Creek","Underpass",5,-34.0375891777605,696.605988160291,50,237
"13","Stewart Creek Underpass",2009,"Stewart Creek","Underpass",0,-34.0375891777605,704.570662100457,50,203
"14","Stewart Creek Underpass",2010,"Stewart Creek","Underpass",1,-34.0375891777605,715.680479452055,50,322
"15","Stewart Creek Underpass",2011,"Stewart Creek","Underpass",5,-34.0375891777605,720.071917808219,50,188
"16","Stewart Creek Underpass",2012,"Stewart Creek","Underpass",19,-34.0375891777605,752.044057377049,50,339
"17","Stewart Creek Underpass",2013,"Stewart Creek","Underpass",17,-34.0375891777605,768.992922374429,50,241
"18","Stewart Creek Underpass",2014,"Stewart Creek","Underpass",15,-34.0375891777605,823.211529680365,50,303
"19","stewart Creek Underpass",2015,"Stewart Creek","Underpass",0,-34.0375891777605,884.334589041096,50,51
"20","Stewart Creek Underpass",2015,"Stewart Creek","Underpass",13,-34.0375891777605,884.334589041096,50,345
"21","Stewart Creek Underpass",2016,"Stewart Creek","Underpass",12,-34.0375891777605,930.911657559198,50,829
"22","Stewart Creek Underpass",2017,"Stewart Creek","Underpass",12,-34.0375891777605,946.533736727937,50,422
"23","Stewart Creek Underpass",2018,"Stewart Creek","Underpass",12,-34.0375891777605,950.874001996008,50,208
"24","Wind Valley Underpass",2008,"Wind Valley","Underpass",5,-18.7648619050332,696.605988160291,65.2727272727273,121
"25","Wind Valley Underpass",2009,"Wind Valley","Underpass",4,-18.7648619050332,704.570662100457,65.2727272727273,136
"26","Wind Valley Underpass",2010,"Wind Valley","Underpass",1,-18.7648619050332,715.680479452055,65.2727272727273,201
"27","Wind Valley Underpass",2011,"Wind Valley","Underpass",13,-18.7648619050332,720.071917808219,65.2727272727273,266
"28","Wind Valley Underpass",2012,"Wind Valley","Underpass",19,-18.7648619050332,752.044057377049,65.2727272727273,251
"29","Wind Valley Underpass",2013,"Wind Valley","Underpass",17,-18.7648619050332,768.992922374429,65.2727272727273,207
"30","Wind Valley Underpass",2014,"Wind Valley","Underpass",18,-18.7648619050332,823.211529680365,65.2727272727273,129
"31","Wind Valley Underpass",2015,"Wind Valley","Underpass",13,-18.7648619050332,884.334589041096,65.2727272727273,159
"32","Wind Valley Underpass",2016,"Wind Valley","Underpass",12,-18.7648619050332,930.911657559198,65.2727272727273,304
"33","Wind Valley Underpass",2017,"Wind Valley","Underpass",12,-18.7648619050332,946.533736727937,65.2727272727273,220
"34","Wind Valley Underpass",2018,"Wind Valley","Underpass",12,-18.7648619050332,950.874001996008,65.2727272727273,214
"35","Deadmans South Jumpout",2008,"Dead Man's","Jumpout",1,109.235138094967,696.605988160291,193.272727272727,4
"36","Deadmans Northeast Jumpout",2009,"Dead Man's","Jumpout",0,109.235138094967,704.570662100457,193.272727272727,40
"37","Deadmans South Jumpout",2009,"Dead Man's","Jumpout",2,109.235138094967,704.570662100457,193.272727272727,92
"38","Deadmans Northeast Jumpout",2010,"Dead Man's","Jumpout",2,109.235138094967,715.680479452055,193.272727272727,108
"39","Deadmans Northwest Jumpout",2010,"Dead Man's","Jumpout",2,109.235138094967,715.680479452055,193.272727272727,18
"40","Deadmans South Jumpout",2010,"Dead Man's","Jumpout",3,109.235138094967,715.680479452055,193.272727272727,69
"41","Deadmans Northwest Jumpout",2011,"Dead Man's","Jumpout",3,109.235138094967,720.071917808219,193.272727272727,9
"42","Deadmans South Jumpout",2011,"Dead Man's","Jumpout",3,109.235138094967,720.071917808219,193.272727272727,114
"43","Deadmans Northeast Jumpout",2011,"Dead Man's","Jumpout",10,109.235138094967,720.071917808219,193.272727272727,253
"44","Deadmans Northeast Jumpout",2012,"Dead Man's","Jumpout",16,109.235138094967,752.044057377049,193.272727272727,101
